,caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn,Year,Month,Ground_Truth_Bull_and_Bear,Date,month_trend,ground_trend
40,19950412,0.003568,0.003484000000000001,0.003898,0.003853,3661676240.0,500,3648961690.0,500,507.17,0.003244,1995,199504,1,1995-04-12,0,0
41,19950413,0.003826,0.003818,0.003358,0.003331,3675658240.0,500,3661676240.0,500,509.23,0.004062,1995,199504,1,1995-04-13,0,0
42,19950417,-0.005638000000000001,-0.005746,-0.006919,-0.007002,3654537400.0,500,3675658240.0,500,506.13,-0.0060880000000000005,1995,199504,1,1995-04-17,0,0
43,19950418,-0.001903,-0.001937,-0.003105,-0.0031620000000000003,3647459690.0,500,3654537400.0,500,505.37,-0.001502,1995,199504,1,1995-04-18,0,0
44,19950419,-0.000857,-0.000875,-0.000412,-0.000429,3644267080.0,500,3647459690.0,500,504.92,-0.0008900000000000002,1995,199504,1,1995-04-19,0,0
45,19950420,0.001339,0.001339,0.001434,0.001434,3649147180.0,500,3644267080.0,500,505.29,0.000733,1995,199504,1,1995-04-20,0,0
46,19950421,0.005773,0.005773,0.005232,0.005232,3670213970.0,500,3649147180.0,500,508.49,0.006333,1995,199504,1,1995-04-21,0,0
47,19950424,0.008985,0.008778,0.00808,0.007844,3702430580.0,500,3670213970.0,500,512.89,0.008653000000000001,1995,199504,1,1995-04-24,0,0
48,19950425,-0.001318,-0.001441,-0.002331,-0.002499,3697094760.0,500,3702430580.0,500,512.1,-0.00154,1995,199504,1,1995-04-25,0,0
49,19950426,0.001231,0.001153,0.000143,0.00012,3701355670.0,500,3697094760.0,500,512.66,0.001094,1995,199504,1,1995-04-26,0,0
50,19950427,0.001836,0.001835,0.001511,0.001511,3708149390.0,500,3701355670.0,500,513.55,0.001736,1995,199504,1,1995-04-27,0,0
51,19950428,0.001897,0.001888,0.002393,0.00238,3709079450.0,500,3708149390.0,500,514.71,0.002259,1995,199504,1,1995-04-28,0,0
52,19950501,-0.000618,-0.0008619999999999999,-0.0006,-0.000811,3708213200.0,500,3711413470.0,500,514.26,-0.000874,1995,199505,1,1995-05-01,0,0
53,19950502,0.001218,0.001058,0.0006730000000000001,0.000429,3712136570.0,500,3708213200.0,500,514.86,0.001167,1995,199505,1,1995-05-02,0,0
54,19950503,0.011043,0.010998,0.008683,0.00865,3752963850.0,500,3712136570.0,500,520.48,0.010916,1995,199505,1,1995-05-03,0,0
55,19950504,0.0005480000000000001,0.000233,0.000328,0.00015800000000000002,3753838470.0,500,3752963850.0,500,520.54,0.000115,1995,199505,1,1995-05-04,0,0
56,19950505,-0.000745,-0.000824,-0.0026620000000000003,-0.002724,3750748730.0,500,3753838470.0,500,520.12,-0.000807,1995,199505,1,1995-05-05,0,0
57,19950508,0.0075299999999999985,0.00719,0.007648999999999999,0.007396,3777715320.0,500,3750748730.0,500,523.96,0.007383,1995,199505,1,1995-05-08,0,0
58,19950509,-0.000278,-0.000684,0.000369,0.000203,3775129520.0,500,3777715320.0,500,523.56,-0.000763,1995,199505,1,1995-05-09,0,0
59,19950510,0.001398,0.001302,0.001808,0.00173,3785468430.0,500,3780544460.0,500,524.36,0.0015279999999999998,1995,199505,1,1995-05-10,0,0
60,19950511,0.001042,0.000895,0.001778,0.0016350000000000002,3788857230.0,500,3785468430.0,500,524.37,1.9e-05,1995,199505,1,1995-05-11,0,0
61,19950512,0.001868,0.001841,0.00486,0.004782,3795833870.0,500,3788857230.0,500,525.55,0.00225,1995,199505,1,1995-05-12,0,0
62,19950515,0.004479,0.004203,0.004728,0.004455,3811786740.0,500,3795833870.0,500,527.74,0.0041670000000000006,1995,199505,1,1995-05-15,0,0
63,19950516,0.000898,0.0007509999999999999,0.003676,0.003576,3814649410.0,500,3811786740.0,500,528.19,0.0008529999999999999,1995,199505,1,1995-05-16,0,0
64,19950517,-0.00221,-0.002216,-0.002548,-0.002561,3806197230.0,500,3814649410.0,500,527.07,-0.00212,1995,199505,1,1995-05-17,0,0
65,19950518,-0.014229,-0.0143,-0.011933,-0.011984,3751764860.0,500,3806197230.0,500,519.58,-0.014211,1995,199505,1,1995-05-18,0,0
66,19950519,-9.4e-05,-0.000296,-0.001932,-0.00202,3750654490.0,500,3751764860.0,500,519.19,-0.0007509999999999999,1995,199505,1,1995-05-19,0,0
67,19950522,0.008628,0.008528,0.006745,0.006572,3784927870.0,500,3752921740.0,500,523.65,0.00859,1995,199505,1,1995-05-22,0,0
68,19950523,0.009696,0.009654,0.009071,0.008969,3821468140.0,500,3784927870.0,500,528.59,0.009434,1995,199505,1,1995-05-23,0,0
69,19950524,4.4e-05,-5.600000000000001e-05,-3e-06,-0.000148,3821254290.0,500,3821468140.0,500,528.61,3.8e-05,1995,199505,1,1995-05-24,0,0
70,19950525,0.000106,-0.00015800000000000002,-0.002424,-0.002791,3820554260.0,500,3821254290.0,500,528.59,-3.8e-05,1995,199505,1,1995-05-25,0,0
71,19950526,-0.00928,-0.009454,-0.008884,-0.009094,3784434160.0,500,3820554260.0,500,523.65,-0.009346,1995,199505,1,1995-05-26,0,0
72,19950530,-0.0002,-0.000248,-0.0006190000000000001,-0.000724,3785004360.0,500,3787702440.0,500,523.58,-0.000134,1995,199505,1,1995-05-30,0,0
73,19950531,0.018528,0.01851,0.016291,0.016247,3856765310.0,500,3785004360.0,500,533.4,0.018755,1995,199505,1,1995-05-31,0,0
74,19950601,0.000396,0.000307,-0.000411,-0.000559,3857948240.0,500,3856765310.0,500,533.49,0.000169,1995,199506,1,1995-06-01,0,0
75,19950602,-0.001445,-0.001609,-0.002161,-0.002241,3851739530.0,500,3857948240.0,500,532.51,-0.001837,1995,199506,1,1995-06-02,0,0
76,19950605,0.006032,0.006032,0.010039,0.010039,3874974470.0,500,3851739530.0,500,535.6,0.005803,1995,199506,1,1995-06-05,0,0
77,19950606,-0.000152,-0.000312,0.00111,0.000869,3873764420.0,500,3874974470.0,500,535.55,-9.3e-05,1995,199506,1,1995-06-06,0,0
78,19950607,-0.004362,-0.004362,-0.003820000000000001,-0.003820000000000001,3856865720.0,500,3873764420.0,500,533.13,-0.004519,1995,199506,1,1995-06-07,0,0
79,19950608,-0.001406,-0.001532,-0.000918,-0.00107,3850955520.0,500,3856865720.0,500,532.35,-0.001463,1995,199506,1,1995-06-08,0,0
80,19950609,-0.008101,-0.008111,-0.008073,-0.00809,3819720410.0,500,3850955520.0,500,527.94,-0.008284,1995,199506,1,1995-06-09,0,0
81,19950612,0.005692,0.005640999999999999,0.005291,0.005224,3841265730.0,500,3819720410.0,500,530.88,0.005569,1995,199506,1,1995-06-12,0,0
82,19950613,0.009935,0.009503,0.009671,0.0095,3877768430.0,500,3841265730.0,500,536.05,0.009739,1995,199506,1,1995-06-13,0,0
83,19950614,0.000931,0.000865,-6.8e-05,-0.000219,3881124440.0,500,3877768430.0,500,536.47,0.000784,1995,199506,1,1995-06-14,0,0
84,19950615,0.00159,0.0015810000000000002,0.001684,0.001661,3887262110.0,500,3881124440.0,500,537.12,0.001212,1995,199506,1,1995-06-15,0,0
85,19950616,0.0047740000000000005,0.00477,0.002715,0.002712,3905804510.0,500,3887262110.0,500,539.83,0.005045,1995,199506,1,1995-06-16,0,0
86,19950619,0.01018,0.010117,0.007906,0.007855,3945318160.0,500,3905804510.0,500,545.22,0.009985,1995,199506,1,1995-06-19,0,0
87,19950620,-0.000353,-0.000371,-0.0005769999999999999,-0.0006230000000000001,3943856400.0,500,3945318160.0,500,544.98,-0.00044,1995,199506,1,1995-06-20,0,0
88,19950621,-0.001182,-0.001194,-0.00292,-0.002936,3939148830.0,500,3943856400.0,500,543.98,-0.001835,1995,199506,1,1995-06-21,0,0
89,19950622,0.01251,0.012446,0.012687,0.012635,3988176260.0,500,3939148830.0,500,551.07,0.013034,1995,199506,1,1995-06-22,0,0
90,19950623,-0.002539,-0.002553,-0.002753,-0.002781,3977993820.0,500,3988176260.0,500,549.71,-0.002468,1995,199506,1,1995-06-23,0,0
91,19950626,-0.009803,-0.009811,-0.009246,-0.009272,3938963810.0,500,3977993820.0,500,544.13,-0.010151,1995,199506,1,1995-06-26,0,0
92,19950627,-0.0032240000000000003,-0.003225,-0.000682,-0.0006929999999999999,3926258930.0,500,3938963810.0,500,542.43,-0.003124,1995,199506,1,1995-06-27,0,0
93,19950628,0.004633,0.004213000000000001,0.002508,0.002222,3942799760.0,500,3926258930.0,500,544.73,0.00424,1995,199506,1,1995-06-28,0,0
94,19950629,-0.0014199999999999998,-0.001429,-0.001191,-0.001201,3937166920.0,500,3942799760.0,500,543.87,-0.001579,1995,199506,1,1995-06-29,0,0
95,19950630,0.001545,0.001324,0.005257,0.005184,3943476460.0,500,3937166920.0,500,544.75,0.001618,1995,199506,1,1995-06-30,0,0
96,19950703,0.004382,0.004325,0.0023120000000000003,0.002242,3963311720.0,500,3947418080.0,500,547.09,0.004296,1995,199507,1,1995-07-03,0,0
97,19950705,0.0007559999999999999,0.000591,0.003032,0.002919,3965616270.0,500,3963275190.0,500,547.26,0.000311,1995,199507,1,1995-07-05,0,0
98,19950706,0.012591,0.012335,0.012601,0.012424,4014531390.0,500,3965616270.0,500,553.99,0.012298,1995,199507,1,1995-07-06,0,0
99,19950707,0.004334,0.004162,0.009001,0.008902,4031239900.0,500,4014531390.0,500,556.37,0.004296,1995,199507,1,1995-07-07,0,0
100,19950710,0.001181,0.001178,0.00321,0.003199,4035989690.0,500,4031239900.0,500,557.19,0.001474,1995,199507,1,1995-07-10,0,0
101,19950711,-0.003751,-0.003775,-0.004941,-0.004992,4020755410.0,500,4035989690.0,500,554.78,-0.004325,1995,199507,1,1995-07-11,0,0
102,19950712,0.010817,0.010741,0.008325,0.008225,4063944100.0,500,4020755410.0,500,560.89,0.011013,1995,199507,1,1995-07-12,0,0
103,19950713,0.00012,9.1e-05,-0.001517,-0.001565,4067356830.0,500,4078734720.0,500,561.0,0.000196,1995,199507,1,1995-07-13,0,0
104,19950714,-0.001997,-0.001997,-0.001782,-0.001782,4059232800.0,500,4067356830.0,500,559.89,-0.001979,1995,199507,1,1995-07-14,0,0
105,19950717,0.005251,0.005251,0.0033979999999999995,0.0033979999999999995,4080549840.0,500,4059232800.0,500,562.72,0.005055,1995,199507,1,1995-07-17,0,0
106,19950718,-0.008014,-0.008112999999999999,-0.007693999999999999,-0.007776999999999998,4047445440.0,500,4080549840.0,500,558.46,-0.00757,1995,199507,1,1995-07-18,0,0
107,19950719,-0.013162,-0.013268,-0.013363,-0.013441,3993742890.0,500,4047445440.0,500,550.98,-0.013394,1995,199507,1,1995-07-19,0,0
108,19950720,0.005135,0.005116,0.006065,0.006012,4014176660.0,500,3993742890.0,500,553.54,0.004646,1995,199507,1,1995-07-20,0,0
109,19950721,-0.000353,-0.00037,-0.0016649999999999998,-0.001679,4012693170.0,500,4014176660.0,500,553.62,0.000145,1995,199507,1,1995-07-21,0,0
110,19950724,0.005940999999999999,0.005940999999999999,0.005636,0.005636,4036530690.0,500,4012693170.0,500,556.63,0.005437,1995,199507,1,1995-07-24,0,0
111,19950725,0.007748,0.007748,0.006678,0.006678,4067804600.0,500,4036530690.0,500,561.1,0.008029999999999999,1995,199507,1,1995-07-25,0,0
112,19950726,0.001196,0.001131,0.000872,0.0007769999999999999,4072406020.0,500,4067804600.0,500,561.61,0.000909,1995,199507,1,1995-07-26,0,0
113,19950727,0.006215,0.006055,0.008013,0.00785,4097065500.0,500,4072406020.0,500,565.22,0.006428,1995,199507,1,1995-07-27,0,0
114,19950728,-0.003839,-0.003874,-0.003099,-0.003127,4080854680.0,500,4097065500.0,500,562.93,-0.004052,1995,199507,1,1995-07-28,0,0
115,19950731,-0.001636,-0.0017170000000000002,-0.001351,-0.001377,4079536800.0,500,4084501780.0,500,562.06,-0.001545,1995,199507,1,1995-07-31,0,0
116,19950801,-0.004435000000000001,-0.004446,-0.001899,-0.001916,4061397520.0,500,4079536800.0,500,559.64,-0.004306,1995,199508,1,1995-08-01,0,0
117,19950802,-0.001303,-0.00152,-0.000282,-0.000481,4055224890.0,500,4061397520.0,500,558.8,-0.001501,1995,199508,1,1995-08-02,0,0
118,19950803,2.6e-05,-0.00024700000000000004,-0.001111,-0.001364,4054223800.0,500,4055224890.0,500,558.75,-8.9e-05,1995,199508,1,1995-08-03,0,0
119,19950804,0.00096,0.000889,0.0008560000000000001,0.000798,4057826050.0,500,4054223800.0,500,558.94,0.00034,1995,199508,1,1995-08-04,0,0
120,19950807,0.001988,0.001886,0.002277,0.00224,4065478600.0,500,4057826050.0,500,560.03,0.00195,1995,199508,1,1995-08-07,0,0
121,19950808,0.000602,0.0004980000000000001,-8.9e-05,-0.000207,4067502860.0,500,4065478600.0,500,560.39,0.000643,1995,199508,1,1995-08-08,0,0
122,19950809,-0.000932,-0.001083,-0.00214,-0.002283,4063099230.0,500,4067502860.0,500,559.71,-0.001213,1995,199508,1,1995-08-09,0,0
123,19950810,-0.0032990000000000003,-0.003568,-0.002738,-0.002847,4048603080.0,500,4063099230.0,500,557.45,-0.004038,1995,199508,1,1995-08-10,0,0
124,19950811,-0.0041670000000000006,-0.004351,-0.003874,-0.004002,4027369980.0,500,4048603080.0,500,555.11,-0.004198,1995,199508,1,1995-08-11,0,0
125,19950814,0.00852,0.008424,0.006376,0.006213000000000001,4061297070.0,500,4027369980.0,500,559.74,0.008341,1995,199508,1,1995-08-14,0,0
126,19950815,-0.00175,-0.001888,-0.000433,-0.000488,4053629990.0,500,4061297070.0,500,558.57,-0.00209,1995,199508,1,1995-08-15,0,0
127,19950816,0.002741,0.002497,0.004153,0.003886,4063753530.0,500,4053629990.0,500,559.97,0.002506,1995,199508,1,1995-08-16,0,0
128,19950817,-0.001622,-0.0016809999999999998,0.0005679999999999999,0.00044,4056923440.0,500,4063753530.0,500,559.04,-0.001661,1995,199508,1,1995-08-17,0,0
129,19950818,0.000466,0.000348,0.001771,0.001738,4061197820.0,500,4059786400.0,500,559.21,0.000304,1995,199508,1,1995-08-18,0,0
130,19950821,-0.002022,-0.002045,-0.000154,-0.000187,4052891680.0,500,4061197820.0,500,558.11,-0.001967,1995,199508,1,1995-08-21,0,0
131,19950822,0.002691,0.002637,0.001277,0.001221,4063580330.0,500,4052891680.0,500,559.52,0.002526,1995,199508,1,1995-08-22,0,0
132,19950823,-0.004214,-0.0043630000000000006,-0.003540999999999999,-0.003722,4045850130.0,500,4063580330.0,500,557.14,-0.004254,1995,199508,1,1995-08-23,0,0
133,19950824,0.000602,0.000579,-0.00019,-0.000246,4048190770.0,500,4045850130.0,500,557.46,0.0005740000000000001,1995,199508,1,1995-08-24,0,0
134,19950825,0.004769,0.004747,0.005057,0.005018,4067406130.0,500,4048190770.0,500,560.1,0.004736,1995,199508,1,1995-08-25,0,0
135,19950828,-0.002242,-0.002256,-0.000504,-0.000546,4058231960.0,500,4067406130.0,500,559.05,-0.001875,1995,199508,1,1995-08-28,0,0
136,19950829,0.002204,0.002062,-0.00034,-0.0005809999999999999,4066457850.0,500,4058231960.0,500,560.0,0.0016989999999999998,1995,199508,1,1995-08-29,0,0
137,19950830,0.001926,0.001594,0.001152,0.000686,4072940800.0,500,4066457850.0,500,560.92,0.001643,1995,199508,1,1995-08-30,0,0
138,19950831,0.002074,0.002002,0.001755,0.001668,4083074050.0,500,4072940800.0,500,561.88,0.0017109999999999998,1995,199508,1,1995-08-31,0,0
139,19950901,0.003293,0.0032630000000000003,0.004371,0.004291,4096401420.0,500,4083074050.0,500,563.84,0.003488,1995,199509,1,1995-09-01,0,0
140,19950905,0.009582,0.009406,0.009093,0.009004999999999999,4134930470.0,500,4096401420.0,500,569.17,0.009453,1995,199509,1,1995-09-05,0,0
141,19950906,0.002157,0.001962,0.00354,0.0032600000000000003,4143043600.0,500,4134930470.0,500,570.17,0.001757,1995,199509,1,1995-09-06,0,0
142,19950907,0.000208,0.00014199999999999998,0.00059,0.000476,4143631760.0,500,4143043600.0,500,570.29,0.00021,1995,199509,1,1995-09-07,0,0
143,19950908,0.004189,0.004175,0.004481000000000001,0.004466,4160932310.0,500,4143631760.0,500,572.68,0.004190999999999999,1995,199509,1,1995-09-08,0,0
144,19950911,0.002546,0.002502,0.001885,0.001847,4171342330.0,500,4160932310.0,500,573.91,0.002148,1995,199509,1,1995-09-11,0,0
145,19950912,0.00387,0.003857,0.003902000000000001,0.003842,4187429270.0,500,4171342330.0,500,576.51,0.004529999999999999,1995,199509,1,1995-09-12,0,0
146,19950913,0.00496,0.004475,0.002285,0.002023,4206168720.0,500,4187429270.0,500,578.77,0.00392,1995,199509,1,1995-09-13,0,0
147,19950914,0.007826000000000001,0.007794,0.006633,0.006555,4238952060.0,500,4206168720.0,500,583.61,0.008362999999999999,1995,199509,1,1995-09-14,0,0
148,19950915,2e-05,1.8e-05,-0.002066,-0.002075,4239028980.0,500,4238952060.0,500,583.35,-0.000446,1995,199509,1,1995-09-15,0,0
149,19950918,-0.000878,-0.001046,-0.001946,-0.002015,4234596250.0,500,4239028980.0,500,582.77,-0.000994,1995,199509,1,1995-09-18,0,0
150,19950919,0.002373,0.002344,-0.000252,-0.0003,4244520910.0,500,4234596250.0,500,584.2,0.002454,1995,199509,1,1995-09-19,0,0
151,19950920,0.004401,0.004362,0.002106,0.002042,4263035500.0,500,4244520910.0,500,586.77,0.004399,1995,199509,1,1995-09-20,0,0
152,19950921,-0.006587000000000001,-0.006638,-0.007112,-0.007179000000000001,4234737590.0,500,4263035500.0,500,583.0,-0.006425,1995,199509,1,1995-09-21,0,0
153,19950922,-0.00215,-0.002153,-0.005215,-0.005220000000000001,4232568580.0,500,4237946650.0,500,581.73,-0.002178,1995,199509,1,1995-09-22,0,0
154,19950925,0.000153,0.000145,-0.002152,-0.002165,4233181280.0,500,4232568580.0,500,581.81,0.000138,1995,199509,1,1995-09-25,0,0
155,19950926,-0.000361,-0.000361,-0.002325,-0.002325,4231651460.0,500,4233181280.0,500,581.41,-0.000688,1995,199509,1,1995-09-26,0,0
156,19950927,-0.00034,-0.000834,-0.002364,-0.002613,4228122910.0,500,4231651460.0,500,581.04,-0.0006360000000000001,1995,199509,1,1995-09-27,0,0
157,19950928,0.008287000000000001,0.008265,0.010089,0.010042,4263066410.0,500,4228122910.0,500,585.87,0.008313,1995,199509,1,1995-09-28,0,0
158,19950929,-0.002269,-0.002269,-0.000952,-0.000952,4253839440.0,500,4263066410.0,500,584.41,-0.0024920000000000003,1995,199509,1,1995-09-29,0,0
159,19951002,-0.00491,-0.004936,-0.004229,-0.004262,4232843850.0,500,4253839440.0,500,581.72,-0.004603,1995,199510,1,1995-10-02,0,0
160,19951003,0.001205,0.001164,-0.003279,-0.0033350000000000003,4237708980.0,500,4232843850.0,500,582.34,0.001066,1995,199510,1,1995-10-03,0,0
161,19951004,-0.001192,-0.001352,-0.005924,-0.006048,4231979550.0,500,4237708980.0,500,581.47,-0.001494,1995,199510,1,1995-10-04,0,0
162,19951005,0.002366,0.002012,0.0034590000000000003,0.003199,4240493260.0,500,4231979550.0,500,582.63,0.001995,1995,199510,1,1995-10-05,0,0
163,19951006,-0.000395,-0.000493,0.0006730000000000001,0.0006349999999999999,4238404210.0,500,4240493260.0,500,582.49,-0.00024,1995,199510,1,1995-10-06,0,0
164,19951009,-0.007191,-0.007191,-0.009373,-0.009373,4207925430.0,500,4238404210.0,500,578.37,-0.007073,1995,199510,1,1995-10-09,0,0
165,19951010,-0.001199,-0.001199,-0.000167,-0.000167,4202881310.0,500,4207925430.0,500,577.52,-0.00147,1995,199510,1,1995-10-10,0,0
166,19951011,0.003431,0.0032890000000000003,0.004217,0.004075,4216702830.0,500,4202881310.0,500,579.46,0.0033590000000000004,1995,199510,1,1995-10-11,0,0
167,19951012,0.006670999999999999,0.006639,0.006255,0.006198,4244697060.0,500,4216702830.0,500,583.1,0.006282,1995,199510,1,1995-10-12,0,0
168,19951013,0.002381,0.002378,0.003718,0.003709000000000001,4254789930.0,500,4244697060.0,500,584.5,0.0024010000000000004,1995,199510,1,1995-10-13,0,0
169,19951016,-0.002227,-0.002227,-0.003145,-0.003145,4245315670.0,500,4254789930.0,500,583.03,-0.002515,1995,199510,1,1995-10-16,0,0
170,19951017,0.006021,0.006021,0.00323,0.00323,4270875480.0,500,4245315670.0,500,586.78,0.006431999999999999,1995,199510,1,1995-10-17,0,0
171,19951018,0.0015949999999999998,0.001417,-0.000199,-0.000333,4276926270.0,500,4270875480.0,500,587.44,0.001125,1995,199510,1,1995-10-18,0,0
172,19951019,0.005364,0.005343,0.00122,0.001183,4299776670.0,500,4276926270.0,500,590.65,0.005464,1995,199510,1,1995-10-19,0,0
173,19951020,-0.005654,-0.0056630000000000005,-0.004541,-0.004563,4275425580.0,500,4299776670.0,500,587.46,-0.005401,1995,199510,1,1995-10-20,0,0
174,19951023,-0.003626,-0.003642,-0.004993,-0.005006,4265932100.0,500,4281524690.0,500,585.06,-0.004085,1995,199510,1,1995-10-23,0,0
175,19951024,0.002318,0.002318,0.000699,0.000699,4275818910.0,500,4265932100.0,500,586.56,0.002564,1995,199510,1,1995-10-24,0,0
176,19951025,-0.0072260000000000015,-0.00729,-0.009616,-0.009713,4244647000.0,500,4275818910.0,500,582.47,-0.006973,1995,199510,1,1995-10-25,0,0
